MAJ   ; Latitude ; Longitude 
GRILLY   ;46.333333;6.116667
GROISSIAT   ;46.216667;5.6
GROSLEE   ;45.716667;5.566667
GUEREINS   ;46.1;4.783333
HAUTECOURT ROMANECHE  ;46.158333;5.416667
HAUTEVILLE LOMPNES  ;45.966667;5.6
HOSTIAS   ;45.9;5.533333
HOTONNES   ;46;5.683333
ILLIAT   ;46.183333;4.883333
INJOUX GENISSIAT  ;46.05;5.783333
INNIMOND   ;45.783333;5.566667
IZENAVE   ;46.033333;5.533333
IZERNORE   ;46.216667;5.55
IZIEU   ;45.65;5.633333
JASSANS RIOTTIER  ;45.983333;4.75
JASSERON   ;46.216667;5.333333
JAYAT   ;46.366667;5.116667
JOURNANS   ;46.15;5.333333
JOYEUX   ;45.95;5.1
JUJURIEUX   ;46.033333;5.416667
LABALME   ;46.1;5.483333
LAGNIEU   ;45.9;5.35
LAIZ   ;46.25;4.883333
LALLEYRIAT   ;46.15;5.716667
LANCRANS   ;46.133333;5.833333
LANTENAY   ;46.05;5.533333
LAPEYROUSE   ;45.983333;4.966667
LAVOURS   ;45.8;5.766667
LEAZ   ;46.1;5.883333
LELEX   ;46.3;5.95
LENT   ;46.116667;5.2
LESCHEROUX   ;46.4;5.15
LEYMENT   ;45.916667;5.3
LEYSSARD   ;46.166667;5.466667
LHUIS   ;45.75;5.533333
LILIGNOD   ;45.95;5.683333
LOCHIEU   ;45.933333;5.716667
LOMPNAS   ;45.8;5.516667
LOMPNIEU   ;45.966667;5.65
LOYES   ;45.933333;5.233333
LOYETTES   ;45.766667;5.2
LURCY   ;46.066667;4.766667
LUTHEZIEU   ;45.9;5.666667
MAGNIEU   ;45.783333;5.716667
MAILLAT   ;46.133333;5.55
MALAFRETAZ   ;46.316667;5.15
MANTENAY MONTLIN  ;46.416667;5.083333
MANZIAT   ;46.35;4.9
MARBOZ   ;46.333333;5.25
MARCHAMP   ;45.783333;5.55
MARIGNIEU   ;45.8;5.716667
MARLIEUX   ;46.066667;5.066667
MARSONNAS   ;46.333333;5.066667
MARTIGNAT   ;46.216667;5.6
MASSIEUX   ;45.916667;4.833333
MASSIGNIEU DE RIVES ;45.75;5.766667
MATAFELON GRANGES  ;46.266667;5.566667
MEILLONNAS   ;46.25;5.35
MERIGNAT   ;46.066667;5.433333
MEXIMIEUX   ;45.9;5.2
BOHAS MEYRIAT RIGNAT ;46.133333;5.4
MEZERIAT   ;46.233333;5.033333
MIJOUX   ;46.366667;6
MIONNAY   ;45.9;4.933333
MISERIEUX   ;45.983333;4.816667
MOENS   ;46.266667;6.1
MOGNENEINS   ;46.133333;4.816667
MOLLON   ;45.95;5.25
MONTAGNAT   ;46.166667;5.283333
MONTAGNIEU   ;45.8;5.466667
MONTANGES   ;46.166667;5.8
MONTCEAUX   ;46.1;4.8
MONTCET   ;46.2;5.116667
LE MONTELLIER  ;45.933333;5.066667
MONTHIEUX   ;45.95;4.933333
MONTLUEL   ;45.85;5.05
MONTMERLE SUR SAONE ;46.083333;4.766667
MONTRACOL   ;46.183333;5.116667
MONTREVEL EN BRESSE ;46.333333;5.133333
