MAJ   ; Latitude ; Longitude 
SAINT PIERRE LE BOST;46.4;2.266667
SAINT PRIEST  ;46.083333;2.333333
SAINT PRIEST LA FEUILLE;46.2;1.533333
SAINT PRIEST LA PLAINE;46.2;1.633333
SAINT PRIEST PALUS ;45.9;1.666667
SAINT QUENTIN LA CHABANNE;45.866667;2.166667
SAINT SEBASTIEN  ;46.4;1.533333
SAINT SILVAIN BAS LE;46.333333;2.233333
SAINT SILVAIN MONTAIGUT ;46.15;1.75
SAINT SILVAIN SOUS TOULX;46.266667;2.166667
SAINT SULPICE LE DUNOIS;46.3;1.733333
SAINT SULPICE LE GUERETOIS;46.2;1.833333
SAINT SULPICE LES CHAMPS;46.15;2.016667
SAINT VAURY  ;46.2;1.75
SAINT YRIEIX LA MONTAGNE;45.883333;2.033333
SAINT YRIEIX LES BOIS;46.1;1.966667
TARDES   ;46.133333;2.333333
TERCILLAT   ;46.416667;2.05
THAURON   ;46;1.816667
TOULX SAINTE CROIX ;46.283333;2.216667
VALLIERES   ;45.9;2.033333
VAREILLES   ;46.3;1.483333
VERNEIGES   ;46.266667;2.333333
VIDAILLAT   ;45.966667;1.916667
VIERSAT   ;46.283333;2.433333
VIGEVILLE   ;46.166667;2.066667
VILLARD   ;46.333333;1.7
LA VILLEDIEU  ;45.733333;1.883333
LA VILLETELLE  ;45.916667;2.35
LE COMPEIX  ;45.9;1.866667
FORGEVIEILLE   ;46.316667;1.533333
AGONAC   ;45.283333;0.75
AJAT   ;45.15;1.016667
ALLES SUR DORDOGNE ;44.85;0.866667
ALLAS LES MINES ;44.833333;1.066667
ANGOISSE   ;45.416667;1.133333
ANLHIAC   ;45.316667;1.133333
ANNESSE ET BEAULIEU ;45.166667;0.55
ANTONNE ET TRIGONANT ;45.216667;0.833333
ARCHIGNAC   ;45.016667;1.3
ATUR   ;45.15;0.75
AUBAS   ;45.083333;1.2
AUDRIX   ;44.883333;0.933333
AUGIGNAC   ;45.583333;0.7
AURIAC DE BOURZAC ;45.366667;0.25
AURIAC DU PERIGORD ;45.1;1.133333
AZERAT   ;45.15;1.116667
BADEFOLS D ANS ;45.233333;1.2
BADEFOLS SUR DORDOGNE ;44.85;0.8
BANEUIL   ;44.85;0.683333
BARDOU   ;44.733333;0.683333
BARS   ;45.1;1.066667
BAYAC   ;44.8;0.733333
BEAUPOUYET   ;45;0.266667
BEAUREGARD DE TERRASSON ;45.15;1.216667
BEAUREGARD ET BASSAC ;44.983333;0.633333
BEAURONNE   ;45.1;0.383333
BEAUSSAC   ;45.5;0.5
BELEYMAS   ;44.983333;0.5
BELVES   ;44.783333;1
BERBIGUIERES   ;44.833333;1.033333
BERGERAC   ;44.85;0.483333
BERTRIC BUREE  ;45.3;0.35
BESSE   ;44.666667;1.116667
BEYNAC ET CAZENAC ;44.833333;1.15
BEZENAC   ;44.85;1.1
BIRAS   ;45.283333;0.633333
BLIS ET BORN ;45.183333;0.9
BOISSE   ;44.716667;0.65
BOISSEUILH   ;45.283333;1.166667
LA BOISSIERE D ANS;45.233333;0.966667
BORN DE CHAMPS ;44.683333;0.716667
BORREZE   ;44.95;1.383333
BOSSET   ;44.95;0.35
BOUILLAC   ;44.766667;0.9
BOUNIAGUES   ;44.75;0.533333
BOURDEILLES   ;45.316667;0.6
LE BOURDEIX  ;45.583333;0.633333
BOURG DES MAISONS ;45.333333;0.433333
BOURG DU BOST ;45.266667;0.25
BOURGNAC   ;45.016667;0.4
BOURNIQUEL   ;44.8;0.85
BOURROU   ;45.05;0.616667
BOUTEILLES SAINT SEBASTIEN ;45.333333;0.3
BOUZIC   ;44.733333;1.233333
BRANTOME   ;45.366667;0.65
BREUILH   ;45.066667;0.75
BROUCHAUD   ;45.2;1
LE BUGUE  ;44.916667;0.933333
BUSSAC   ;45.266667;0.6
BUSSEROLLES   ;45.683333;0.633333
BUSSIERE BADIL  ;45.65;0.6
CADOUIN   ;44.816667;0.866667
CALES   ;44.85;0.816667
CAMPAGNAC LES QUERCY ;44.683333;1.183333
CAMPAGNE   ;44.9;0.966667
CAMPSEGRET   ;44.933333;0.566667
CANTILLAC   ;45.4;0.65
CAPDROT   ;44.683333;0.916667
CARLUX   ;44.883333;1.35
CARSAC AILLAC  ;44.833333;1.25
CARSAC DE GURSON ;44.95;0.1
CARVES   ;44.783333;1.066667
LA CASSAGNE  ;45.05;1.316667
CASTELS   ;44.866667;1.05
CAUSE DE CLERANS ;44.866667;0.666667
CAZOULES   ;44.866667;1.433333
CELLES   ;45.3;0.416667
CENAC ET SAINT JULIEN;44.8;1.2
CENDRIEUX   ;45;0.833333
CERCLES   ;45.366667;0.45
CHALAGNAC   ;45.1;0.666667
CHALEIX   ;45.516667;0.916667
CHAMPAGNAC DE BELAIR ;45.4;0.7
CHAMPAGNE ET FONTAINE ;45.416667;0.316667
CHAMPCEVINEL   ;45.216667;0.733333
CHAMPS ROMAIN  ;45.533333;0.783333
CHANCELADE   ;45.2;0.666667
LE CHANGE  ;45.183333;0.9
CHANTERAC   ;45.183333;0.45
CHAPDEUIL   ;45.333333;0.483333
LA CHAPELLE AUBAREIL ;45.016667;1.183333
LA CHAPELLE FAUCHER ;45.366667;0.75
LA CHAPELLE GONAGUET ;45.233333;0.616667
LA CHAPELLE GRESIGNAC ;45.4;0.333333
LA CHAPELLE MONTABOURLET ;45.4;0.466667
LA CHAPELLE MONTMOREAU ;45.45;0.65
LA CHAPELLE PECHAUD ;44.783333;1.1
LA CHAPELLE SAINT JEAN;45.2;1.15
CHASSAIGNES   ;45.25;0.25
CHATEAU L EVEQUE ;45.25;0.683333
CHATRES   ;45.183333;1.183333
CHAVAGNAC   ;45.083333;1.366667
CHENAUD   ;45.216667;0.1
CHERVAL   ;45.4;0.366667
CHERVEIX CUBAS  ;45.283333;1.116667
CLADECH   ;44.816667;1.066667
CLERMONT DE BEAUREGARD ;44.95;0.65
CLERMONT D EXCIDEUIL ;45.366667;1.05
COLOMBIER   ;44.766667;0.533333
COLY   ;45.083333;1.266667
COMBERANCHE ET EPELUCHE ;45.283333;0.266667
CONDAT SUR TRINCOU ;45.383333;0.716667
CONDAT SUR VEZERE ;45.116667;1.233333
CONNEZAC   ;45.5;0.516667
CONNE DE LABARDE ;44.783333;0.55
LA COQUILLE  ;45.55;0.983333
CORGNAC SUR L ISLE;45.383333;0.95
CORNILLE   ;45.25;0.783333
COUBJOURS   ;45.25;1.25
COULAURES   ;45.3;0.983333
COULOUNIEIX CHAMIERS  ;45.166667;0.7
COURSAC   ;45.133333;0.633333
COURS DE PILE ;44.833333;0.55
COUZE ET SAINT FRONT;44.833333;0.7
CREYSSAC   ;45.3;0.55
CREYSSE   ;44.85;0.566667
CREYSSENSAC ET PISSOT ;45.083333;0.683333
CUBJAC   ;45.216667;0.933333
CUNEGES   ;44.783333;0.366667
DAGLAN   ;44.733333;1.2
DOISSAT   ;44.733333;1.083333
DOMME   ;44.8;1.216667
LA DORNAC  ;45.083333;1.35
DOUCHAPT   ;45.233333;0.433333
DOUVILLE   ;45;0.583333
LA DOUZE  ;45.066667;0.866667
DOUZILLAC   ;45.083333;0.416667
DUSSAC   ;45.4;1.083333
ECHOURGNAC   ;45.116667;0.233333
EGLISE NEUVE DE VERGT;45.083333;0.75
EGLISE NEUVE D ISSAC;44.983333;0.433333
ESCOIRE   ;45.2;0.85
ETOUARS   ;45.6;0.633333
EXCIDEUIL   ;45.333333;1.05
EYGURANDE ET GARDEDEUIL ;45.066667;0.133333
EYLIAC   ;45.166667;0.866667
EYMET   ;44.666667;0.4
PLAISANCE   ;44.708333;0.566667
EYVIRAT   ;45.316667;0.75
EYZERAC   ;45.383333;0.916667
FALGUEYRAT   ;44.683333;0.55
FANLAC   ;45.066667;1.1
LES FARGES  ;45.116667;1.2
FAURILLES   ;44.7;0.7
FESTALEMPS   ;45.233333;0.233333
LA FEUILLADE  ;45.116667;1.4
FIRBEIX   ;45.6;0.966667
FLAUGEAC   ;44.75;0.45
LE FLEIX  ;44.866667;0.25
FLEURAC   ;45.016667;1
FONGALOP   ;44.716667;0.966667
FONROQUE   ;44.7;0.416667
FOSSEMAGNE   ;45.133333;0.983333
FOUGUEYROLLES   ;44.866667;0.166667
FOULEIX   ;44.983333;0.683333
FRAISSE   ;44.933333;0.3
GABILLOU   ;45.2;1.033333
GAGEAC ET ROUILLAC ;44.8;0.341667
GARDONNE   ;44.833333;0.35
GAUGEAC   ;44.666667;0.883333
GENIS   ;45.316667;1.166667
GINESTET   ;44.916667;0.433333
LA GONTERIE BOULOUNEIX ;45.383333;0.6
GRAND BRASSAC  ;45.283333;0.483333
GRAND CASTANG  ;44.9;0.75
GRANGES D ANS ;45.216667;1.116667
LES GRAULGES  ;45.5;0.45
GREZES   ;45.1;1.366667
GRIVES   ;44.766667;1.083333
GROLEJAC   ;44.816667;1.3
HAUTEFAYE   ;45.533333;0.483333
HAUTEFORT   ;45.25;1.15
ISSAC   ;45.016667;0.45
ISSIGEAC   ;44.733333;0.6
JAYAC   ;45.033333;1.333333
LA JEMAYE  ;45.166667;0.25
JOURNIAC   ;44.966667;0.9
JUMILHAC LE GRAND ;45.483333;1.066667
LABOUQUERIE   ;44.733333;0.8
LACROPTE   ;45.041667;0.833333
RUDEAU LADOSSE  ;45.483333;0.5
LA FORCE  ;44.866667;0.366667
LALINDE   ;44.833333;0.733333
LAMONZIE MONTASTRUC  ;44.9;0.583333
LAMONZIE SAINT MARTIN ;44.85;0.383333
LAMOTHE MONTRAVEL  ;44.85;0.033333
LANOUAILLE   ;45.383333;1.133333
LANQUAIS   ;44.816667;0.666667
LARZAC   ;44.75;1
LAVAUR   ;44.6;1.033333
LES LECHES  ;44.983333;0.383333
LEMBRAS   ;44.883333;0.533333
LEMPZOURS   ;45.366667;0.816667
LIGUEUX   ;45.3;0.816667
LIMEUIL   ;44.883333;0.9
LIMEYRAT   ;45.166667;0.983333
LISLE   ;45.283333;0.55
LOLME   ;44.716667;0.85
LOUBEJAC   ;44.583333;1.1
LUNAS   ;44.916667;0.4
LUSIGNAC   ;45.316667;0.3
LUSSAS ET NONTRONNEAU ;45.5;0.583333
MANAURIE   ;44.966667;0.983333
MANDACOU   ;44.7;0.55
MANZAC SUR VERN ;45.083333;0.583333
MARCILLAC SAINT QUENTIN ;44.966667;1.233333
MARNAC   ;44.833333;1.016667
MARQUAY   ;44.95;1.15
MARSALES   ;44.7;0.9
MARSANEIX   ;45.1;0.783333
MAURENS   ;44.933333;0.483333
MAUZAC ET GRAND CASTANG;44.866667;0.783333
MAUZENS ET MIREMONT ;45;0.916667
MAYAC   ;45.283333;0.933333
MAZEYROLLES   ;44.666667;1.016667
MENESPLET   ;45.016667;0.116667
MENSIGNAC   ;45.216667;0.566667
MESCOULES   ;44.75;0.416667
MEYRALS   ;44.9;1.05
MIALET   ;45.55;0.9
MILHAC D AUBEROCHE ;45.116667;0.916667
MILHAC DE NONTRON ;45.466667;0.783333
MINZAC   ;44.966667;0.05
MOLIERES   ;44.8;0.833333
MONBAZILLAC   ;44.783333;0.5
MONBOS   ;44.733333;0.383333
MONESTIER   ;44.766667;0.316667
MONFAUCON   ;44.916667;0.241667
MONMADALES   ;44.766667;0.616667
MONMARVES   ;44.7;0.6
MONPAZIER   ;44.683333;0.9
MONSAC   ;44.783333;0.7
MONSAGUEL   ;44.733333;0.583333
MONSEC   ;45.416667;0.533333
MONTAGNAC D AUBEROCHE ;45.183333;0.95
MONTAGNAC LA CREMPSE ;44.983333;0.55
MONTAGRIER   ;45.266667;0.483333
MONTAZEAU   ;44.883333;0.15
MONTCARET   ;44.85;0.066667
MONTFERRAND DU PERIGORD ;44.75;0.866667
MONTPEYROUX   ;44.916667;0.066667
MONPLAISANT   ;44.783333;0.983333
MONTPON MENESTEROL  ;45;0.166667
MONTREM   ;45.133333;0.6
MOULEYDIER   ;44.85;0.6
MOULIN NEUF  ;45.016667;0.066667
MOUZENS   ;44.85;1
MUSSIDAN   ;45.033333;0.366667
NABIRAT   ;44.75;1.283333
NAILHAC   ;45.216667;1.133333
NANTHEUIL   ;45.416667;0.95
NANTHIAT   ;45.4;0.983333
NASTRINGUES   ;44.866667;0.166667
NAUSSANNES   ;44.75;0.733333
NEGRONDES   ;45.35;0.866667
NEUVIC   ;45.1;0.466667
NONTRON   ;45.533333;0.666667
NOTRE DAME DE SANILHAC;45.116667;0.716667
ORLIAC   ;44.716667;1.066667
ORLIAGUET   ;44.916667;1.35
PALEYRAC   ;44.816667;0.916667
PARCOUL   ;45.2;0.033333
PAULIN   ;45;1.333333
PAUNAT   ;44.9;0.866667
PAUSSAC ET SAINT VIVIEN;45.35;0.533333
PAZAYAC   ;45.116667;1.366667
PERIGUEUX   ;45.183333;0.716667
PETIT BERSAC  ;45.283333;0.233333
PEYRIGNAC   ;45.15;1.166667
PEYRILLAC ET MILLAC ;44.883333;1.4
PEYZAC LE MOUSTIER ;44.983333;1.083333
PEZULS   ;44.916667;0.816667
PIEGUT PLUVIERS  ;45.616667;0.683333
LE PIZOU  ;45.016667;0.066667
PLAZAC   ;45.033333;1.05
POMPORT   ;44.783333;0.416667
PONTEYRAUD   ;45.2;0.233333
PONTOURS   ;44.833333;0.766667
PRATS DE CARLUX ;44.9;1.3
PRATS DU PERIGORD ;44.683333;1.066667
PREYSSAC D EXCIDEUIL ;45.333333;1.1
PRIGONRIEUX   ;44.85;0.4
PROISSANS   ;44.933333;1.233333
PUYGUILHEM   ;44.733333;0.35
PUYMANGOU   ;45.2;0.083333
PUYRENIER   ;45.483333;0.466667
QUEYSSAC   ;44.9;0.55
QUINSAC   ;45.433333;0.7
RAMPIEUX   ;44.716667;0.8
RAZAC D EYMET ;44.683333;0.483333
RAZAC DE SAUSSIGNAC ;44.8;0.283333
RAZAC SUR L ISLE;45.166667;0.616667
RIBAGNAC   ;44.766667;0.5
RIBERAC   ;45.25;0.333333
LA ROCHE CHALAIS ;45.15;0.016667
LA ROQUE GAGEAC ;44.833333;1.2
ROUFFIGNAC DE SIGOULES ;44.783333;0.45
SADILLAC   ;44.733333;0.483333
SAGELAT   ;44.783333;1
SAINT AMAND DE BELVES;44.766667;1.033333
SAINT AMAND DE COLY;45.066667;1.266667
SAINT AMAND DE VERGT;44.983333;0.7
SAINT ANDRE D ALLAS;44.883333;1.183333
SAINT ANDRE DE DOUBLE;45.15;0.316667
SAINT ANTOINE CUMOND ;45.266667;0.2
SAINT ANTOINE D AUBEROCHE;45.15;0.95
SAINT ANTOINE DE BREUILH;44.833333;0.166667
SAINT AQUILIN  ;45.183333;0.5
SAINT AUBIN DE CADELECH;44.683333;0.5
SAINT AUBIN DE LANQUAIS;44.783333;0.583333
SAINT AUBIN DE NABIRAT;44.733333;1.266667
SAINT AULAYE  ;45.2;0.133333
SAINT AVIT DE VIALARD;44.95;0.883333
SAINT AVIT RIVIERE ;44.75;0.883333
SAINT AVIT SENIEUR ;44.766667;0.816667
SAINT BARTHELEMY DE BUSSIERE;45.633333;0.75
SAINT CAPRAISE DE LALINDE;44.85;0.65
SAINT CAPRAISE D EYMET;44.7;0.5
SAINT CASSIEN  ;44.683333;0.85
SAINT CERNIN DE LABARDE;44.766667;0.566667
SAINT CERNIN DE L;44.633333;1.033333
SAINT CERNIN DE REILLAC;45.033333;0.966667
SAINT CHAMASSY  ;44.866667;0.916667
SAINT CIRQ  ;44.933333;0.95
SAINT CREPIN D AUBEROCHE;45.133333;0.9
SAINT CREPIN DE RICHEMONT;45.416667;0.6
SAINT CREPIN ET CARLUCET;44.966667;1.266667
SAINTE CROIX DE MAREUIL;45.466667;0.433333
SAINT CYBRANET  ;44.783333;1.183333
SAINT CYPRIEN  ;44.866667;1.033333
SAINT CYR LES CHAMPAGNES;45.383333;1.283333
SAINT ETIENNE DE PUYCORBIER;45.1;0.333333
SAINTE EULALIE D ANS;45.25;1.016667
SAINTE EULALIE D EYMET;44.7;0.366667
SAINT FELIX DE BOURDEILLES;45.416667;0.566667
SAINT FELIX DE REILLAC;45.033333;0.916667
SAINT FELIX DE VILLADEIX;44.916667;0.683333
SAINTE FOY DE BELVES;44.733333;1.05
SAINTE FOY DE LONGAS;44.933333;0.75
SAINT FRONT D ALEMPS;45.316667;0.783333
SAINT FRONT DE PRADOUX;45.05;0.35
SAINT FRONT LA RIVIERE;45.466667;0.733333
SAINT FRONT SUR NIZONNE;45.483333;0.633333
SAINT GENIES  ;45;1.25
SAINT GERAUD DE CORPS;44.95;0.216667
SAINT GERMAIN DE BELVES;44.8;1.033333
SAINT GERMAIN DES PRES;45.333333;0.983333
SAINT GERMAIN DU SALEMBRE;45.133333;0.45
SAINT GERMAIN ET MONS;44.841667;0.591667
SAINT GERY  ;44.983333;0.316667
SAINT GEYRAC  ;45.1;0.933333
SAINT HILAIRE D ESTISSAC;45.016667;0.516667
SAINTE INNOCENCE  ;44.716667;0.4
SAINT JEAN DE COLE;45.416667;0.833333
SAINT JEAN D ESTISSAC;45.033333;0.516667
SAINT JEAN D EYRAUD;44.95;0.45
SAINT JORY LAS BLOUX;45.366667;0.966667
SAINT JULIEN DE BOURDEILLES;45.366667;0.583333
SAINT JULIEN DE CREMPSE;44.95;0.533333
SAINT JULIEN DE LAMPON;44.866667;1.35
SAINT JULIEN D EYMET;44.716667;0.433333
SAINT JUST  ;45.333333;0.5
SAINT LAURENT DES BATONS;44.966667;0.75
SAINT LAURENT DES HOMMES;45.033333;0.25
SAINT LAURENT DES VIGNES;44.816667;0.45
SAINT LAURENT LA VALLEE;44.75;1.116667
SAINT LAURENT SUR MANOIRE;45.15;0.8
SAINT LEON D ISSIGEAC;44.716667;0.683333
SAINT LEON SUR L;45.116667;0.5
SAINT LEON SUR VEZERE;45.016667;1.1
SAINT LOUIS EN L;45.066667;0.4
SAINT MARCEL DU PERIGORD;44.916667;0.716667
SAINT MARCORY  ;44.716667;0.933333
SAINTE MARIE DE CHIGNAC;45.133333;0.833333
SAINT MARTIAL D ALBAREDE;45.333333;1.033333
SAINT MARTIAL D ARTENSET;45.016667;0.183333
SAINT MARTIAL DE NABIRAT;44.733333;1.25
SAINT MARTIAL DE VALETTE;45.516667;0.65
SAINT MARTIAL VIVEYROL ;45.35;0.333333
SAINT MARTIN DE FRESSENGEAS;45.433333;0.85
SAINT MARTIN DE RIBERAC;45.233333;0.35
SAINT MARTIN DES COMBES;44.95;0.6
SAINT MARTIN L ASTIER;45.05;0.333333
SAINT MARTIN LE PIN;45.55;0.616667
SAINT MEARD DE GURCON;44.9;0.183333
SAINT MEDARD DE MUSSIDAN;45.033333;0.35
SAINT MESMIN  ;45.35;1.2
SAINT MICHEL DE DOUBLE;45.083333;0.283333
SAINT MICHEL DE MONTAIGNE;44.866667;0.033333
SAINT MICHEL DE RIVIERE;45.133333;-0.016667
SAINT MICHEL DE VILLADEIX;44.983333;0.716667
SAINTE MONDANE  ;44.85;1.333333
SAINTE NATHALENE  ;44.916667;1.25
SAINT NEXANS  ;44.8;0.55
SAINTE ORSE  ;45.2;1.083333
SAINT PANCRACE  ;45.433333;0.666667
SAINT PANTALY D ANS;45.25;1
SAINT PANTALY D EXCIDEUIL;45.316667;1.016667
SAINT PARDOUX ET VIELVIC;44.766667;0.95
SAINT PARDOUX LA RIVIERE;45.5;0.75
SAINT PAUL DE SERRE;45.083333;0.616667
SAINT PAUL LA ROCHE;45.483333;1
SAINT PAUL LIZONNE ;45.316667;0.266667
SAINT PERDOUX  ;44.733333;0.533333
SAINT PIERRE DE CHIGNAC;45.133333;0.85
SAINT PIERRE DE COLE;45.366667;0.8
SAINT PIERRE DE FRUGIE;45.583333;1
SAINT PIERRE D EYRAUD;44.85;0.316667
SAINT POMPONT  ;44.716667;1.15
SAINT PRIEST LES FOUGERES;45.533333;1.016667
SAINT PRIVAT DES PRES;45.233333;0.216667
SAINT RABIER  ;45.166667;1.15
SAINT RAPHAEL  ;45.3;1.066667
SAINT REMY  ;44.95;0.166667
SAINT ROMAIN DE MONPAZIER;44.716667;0.883333
SAINT ROMAIN ET SAINT;45.433333;0.866667
SAINT SAUD LACOUSSIERE ;45.533333;0.816667
SAINT SAUVEUR LALANDE ;44.983333;0.233333
SAINT SEURIN DE PRATS;44.833333;0.083333
SAINT SEVERIN D ESTISSAC;45.05;0.483333
SAINT SULPICE DE MAREUIL;45.466667;0.5
SAINT SULPICE DE ROUMAGNAC;45.2;0.4
SAINT SULPICE D EXCIDEUIL;45.383333;1
SAINTE TRIE  ;45.3;1.183333
SAINT VICTOR  ;45.266667;0.433333
SAINT VINCENT DE CONNEZAC;45.166667;0.4
SAINT VINCENT DE COSSE;44.833333;1.1
SAINT VINCENT JALMOUTIERS ;45.2;0.183333
SAINT VINCENT LE PALUEL;44.883333;1.266667
SAINT VINCENT SUR L;45.25;0.883333
SALAGNAC   ;45.316667;1.183333
SALLES DE BELVES ;44.7;1
SALON   ;45.033333;0.783333
SARLANDE   ;45.45;1.116667
SARLAT LA CANEDA ;44.883333;1.216667
SARLIAC SUR L ISLE;45.233333;0.883333
SARRAZAC   ;45.433333;1.033333
SAUSSIGNAC   ;44.816667;0.333333
SAVIGNAC DE MIREMONT ;44.966667;0.933333
SAVIGNAC DE NONTRON ;45.55;0.716667
SAVIGNAC LEDRIER  ;45.366667;1.216667
SAVIGNAC LES EGLISES ;45.266667;0.916667
SCEAU SAINT ANGEL ;45.483333;0.7
SEGONZAC   ;45.2;0.433333
SENCENAC PUY DE FOURCHES;45.3;0.7
SERGEAC   ;45;1.1
SERVANCHES   ;45.15;0.166667
SIGOULES   ;44.75;0.416667
SIMEYROLS   ;44.9;1.333333
SINGLEYRAC   ;44.733333;0.466667
SIORAC DE RIBERAC ;45.183333;0.35
SIORAC EN PERIGORD ;44.816667;0.983333
SIREUIL   ;44.933333;1.066667
SORGES   ;45.3;0.866667
SOUDAT   ;45.616667;0.583333
SOULAURES   ;44.65;0.916667
SOURZAC   ;45.05;0.4
TAMNIES   ;44.966667;1.166667
TEILLOTS   ;45.25;1.216667
TEYJAT   ;45.583333;0.583333
THENAC   ;44.75;0.333333
THENON   ;45.133333;1.066667
THIVIERS   ;45.416667;0.916667
THONAC   ;45.016667;1.116667
TOCANE SAINT APRE ;45.25;0.5
LA TOUR BLANCHE ;45.366667;0.45
TOURTOIRAC   ;45.266667;1.066667
TRELISSAC   ;45.183333;0.783333
TREMOLAT   ;44.883333;0.833333
TURSAC   ;44.966667;1.033333
URVAL   ;44.816667;0.933333
VALEUIL   ;45.333333;0.616667
VALLEREUIL   ;45.066667;0.516667
VALOJOULX   ;45.116667;1.15
VANXAINS   ;45.216667;0.283333
VARAIGNES   ;45.6;0.533333
VARENNES   ;44.833333;0.666667
VAUNAC   ;45.366667;0.866667
VELINES   ;44.85;0.116667
VENDOIRE   ;45.416667;0.3
VERDON   ;44.8;0.633333
VERGT   ;45.016667;0.716667
VERGT DE BIRON ;44.633333;0.841667
VERTEILLAC   ;45.35;0.366667
VEYRIGNAC   ;44.833333;1.316667
VEYRINES DE DOMME ;44.783333;1.116667
VEYRINES DE VERGT ;45;0.783333
VEZAC   ;44.833333;1.183333
VIEUX MAREUIL  ;45.433333;0.5
VILLAC   ;45.183333;1.25
VILLAMBLARD   ;45.016667;0.55
VILLARS   ;45.416667;0.75
VILLEFRANCHE DU PERIGORD ;44.633333;1.083333
VILLETOUREIX   ;45.266667;0.366667
VITRAC   ;44.833333;1.25
EYRENVILLE   ;44.7;0.566667
ABBANS DESSOUS  ;47.133333;5.883333
ABBANS DESSUS  ;47.116667;5.883333
ABBENANS   ;47.5;6.45
ABBEVILLERS   ;47.433333;6.916667
ACCOLANS   ;47.5;6.533333
ADAM LES PASSAVANT ;47.3;6.366667
ADAM LES VERCEL ;47.166667;6.4
AIBRE   ;47.55;6.7
AISSEY   ;47.266667;6.333333
ALAISE   ;47.016667;5.966667
ALLENJOIE   ;47.533333;6.9
LES ALLIES  ;46.95;6.45
ALLONDANS   ;47.516667;6.75
AMAGNEY   ;47.3;6.15
AMANCEY   ;47.033333;6.083333
AMATHAY VESIGNEUX  ;47.016667;6.2
AMONDANS   ;47.066667;6.033333
ANTEUIL   ;47.383333;6.566667
ARBOUANS   ;47.483333;6.816667
ARC ET SENANS ;47.033333;5.766667
ARCEY   ;47.516667;6.666667
ARCON   ;46.95;6.383333
ARC SOUS CICON ;47.05;6.383333
ARC SOUS MONTENOT ;46.916667;6
ARGUEL   ;47.2;6
ATHOSE   ;47.083333;6.316667
AUBONNE   ;47.033333;6.333333
AUDEUX   ;47.266667;5.883333
AUDINCOURT   ;47.483333;6.833333
AUTECHAUX   ;47.383333;6.383333
AUTECHAUX ROIDE  ;47.383333;6.816667
AUXON DESSOUS  ;47.3;5.95
AUXON DESSUS  ;47.3;5.966667
AVENEY   ;47.2;5.966667
AVILLEY   ;47.433333;6.266667
AVOUDREY   ;47.133333;6.433333
BADEVEL   ;47.5;6.933333
BANNANS   ;46.883333;6.233333
LE BARBOUX  ;47.116667;6.716667
BART   ;47.483333;6.766667
BARTHERANS   ;47.033333;5.933333
BATTENANS LES MINES ;47.416667;6.266667
BAUME LES DAMES ;47.35;6.366667
BAVANS   ;47.483333;6.733333
BELFAYS   ;47.266667;6.9
LE BELIEU  ;47.116667;6.633333
BELLEHERBE   ;47.266667;6.666667
BELVOIR   ;47.316667;6.6
BERCHE   ;47.466667;6.75
BERTHELANGE   ;47.2;5.783333
BESANCON   ;47.25;6.033333
BETHONCOURT   ;47.533333;6.8
BEURE   ;47.2;6
BEUTAL   ;47.466667;6.65
BIANS LES USIERS ;46.966667;6.266667
BIEF   ;47.333333;6.766667
LE BIZOT  ;47.133333;6.666667
BLAMONT   ;47.383333;6.85
BLANCHEFONTAINE   ;47.283333;6.766667
BLARIANS   ;47.416667;6.183333
BLUSSANGEAUX   ;47.433333;6.616667
BLUSSANS   ;47.433333;6.6
BOIS LA VILLE ;47.366667;6.416667
BOLANDOZ   ;47.016667;6.116667
BONDEVAL   ;47.45;6.85
BONNAL   ;47.5;6.35
BONNAY   ;47.333333;6.05
BONNETAGE   ;47.2;6.7
BONNEVAUX   ;46.816667;6.183333
BONNEVAUX LE PRIEURE ;47.133333;6.166667
LA BOSSE  ;47.133333;6.65
BOUCLANS   ;47.233333;6.25
BOUJAILLES   ;46.883333;6.083333
BOUJEONS   ;46.75;6.208333
BOURGUIGNON   ;47.416667;6.783333
BOURNOIS   ;47.5;6.5
BOUSSIERES   ;47.15;5.9
BOUVERANS   ;46.85;6.2
BRAILLANS   ;47.3088;6.09182
BRANNE   ;47.383333;6.466667
BRECONCHAUX   ;47.333333;6.266667
BREMONDANS   ;47.233333;6.4
LES BRESEUX  ;47.266667;6.816667
LA BRETENIERE  ;47.383333;6.266667
BRETIGNEY   ;47.483333;6.633333
BRETIGNEY NOTRE DAME ;47.316667;6.3
BRETONVILLERS   ;47.216667;6.633333
BREY ET MAISON DU;46.74197;6.2517
BROGNARD   ;47.533333;6.866667
BUFFARD   ;47.033333;5.833333
BUGNY   ;47;6.35
BULLE   ;46.9;6.233333
BURGILLE   ;47.266667;5.783333
BURNEVILLERS   ;47.316667;7
BUSY   ;47.166667;5.95
BY   ;47.016667;5.9
BYANS SUR DOUBS ;47.116667;5.866667
CADEMENE   ;47.1;6.033333
CENDREY   ;47.4;6.25
CERNAY L EGLISE ;47.266667;6.833333
CESSEY   ;47.1;5.916667
CHAFFOIS   ;46.916667;6.266667
CHALEZE   ;47.266667;6.083333
CHALEZEULE   ;47.266667;6.083333
CHAMESEY   ;47.233333;6.65
CHAMESOL   ;47.35;6.833333
CHAMPLIVE   ;47.283333;6.25
CHAMPOUX   ;47.333333;6.133333
CHAMPVANS LES BAUME ;47.35;6.35
CHAMPVANS LES MOULINS ;47.25;5.916667
CHANTRANS   ;47.05;6.15
